ITS_DEVICE_ID,ITS_DEVICE_TYPE,RECORD_DATE,LOCATION_DESC,ITS_DEVICE_OWNER
626,TRAFFICCAM,2/25/2016 0:00,Brighton and 31st,PWTES
627,TRAFFICCAM,2/28/2016 0:00,Brighton and 44th,PWTES
628,TRAFFICCAM,3/13/2016 0:00,Colfax and Wolff,PWTES
146,Traffic camera,1/9/2012 0:00,15th and Welton,CCD Traffic Engineering
147,Traffic camera,1/9/2012 0:00,15th and Larimer,CCD Traffic Engineering
148,Traffic camera,1/9/2012 0:00,15th and Champa,CCD Traffic Engineering
149,Traffic camera,1/9/2012 0:00,14th and Broadway,CCD Traffic Engineering
150,Traffic camera,1/9/2012 0:00,14th and Bannock,CCD Traffic Engineering
151,Traffic camera,1/9/2012 0:00,14th and Stout,CCD Traffic Engineering
152,Traffic camera,1/9/2012 0:00,14th and Logan,CCD Traffic Engineering
153,Traffic camera,1/9/2012 0:00,14th and Kalamath,CCD Traffic Engineering
154,Traffic camera,1/9/2012 0:00,14th and Court,CCD Traffic Engineering
155,Traffic camera,1/9/2012 0:00,14th and Cherokee,CCD Traffic Engineering
156,Traffic camera,1/9/2012 0:00,14th and Arapahoe,CCD Traffic Engineering
157,Traffic camera,1/9/2012 0:00,13th and Lincoln,CCD Traffic Engineering
158,Traffic camera,1/9/2012 0:00,13th and Grant,CCD Traffic Engineering
159,Traffic camera,1/9/2012 0:00,10th and Lincoln,CCD Traffic Engineering
160,Traffic camera,1/9/2012 0:00,9th and Auraria,CCD Traffic Engineering
161,Traffic camera,1/9/2012 0:00,8th and Zuni,CCD Traffic Engineering
162,Traffic camera,1/9/2012 0:00,8th and Kalamath,CCD Traffic Engineering
163,Traffic camera,1/9/2012 0:00,7th and Auraria Pkwy,CCD Traffic Engineering
164,Traffic camera,1/9/2012 0:00,"5th and Walnut
5th and Walnut
5th and Walnut",CCD Traffic Engineering
165,Traffic camera,1/9/2012 0:00,3rd and Josephine,CCD Traffic Engineering
166,Traffic camera,1/9/2012 0:00,1st and University,CCD Traffic Engineering
167,Traffic camera,1/9/2012 0:00,1st and Steele,CCD Traffic Engineering
168,Traffic camera,1/9/2012 0:00,Auraria Overpass Ramp Gore Point,CCD Traffic Engineering
169,Traffic camera,1/9/2012 0:00,Colfax and I-25,CCD Traffic Engineering
170,Traffic camera,1/9/2012 0:00,I-25 and Alameda E,CCD Traffic Engineering
171,Traffic camera,1/9/2012 0:00,I-25 and Speer,CCD Traffic Engineering
172,Traffic camera,1/9/2012 0:00,I-270 and Quebec,CCD Traffic Engineering
173,Traffic camera,1/9/2012 0:00,Florida and Santa Fe,CCD Traffic Engineering
174,Traffic camera,1/9/2012 0:00,Federal and Mississippi,CCD Traffic Engineering
175,Traffic camera,1/9/2012 0:00,23rd and Federal,CCD Traffic Engineering
176,Traffic camera,1/9/2012 0:00,Downing and MLK and Champa,CCD Traffic Engineering
177,Traffic camera,1/9/2012 0:00,Chambers GVR,CCD Traffic Engineering
178,Traffic camera,1/9/2012 0:00,I-70 and Brighton Blvd,CCD Traffic Engineering
179,Traffic camera,1/9/2012 0:00,I-70 (Stapleton Dr S) and Dahlia,CCD Traffic Engineering
180,Traffic camera,1/9/2012 0:00,I-70 and Federal,CCD Traffic Engineering
181,Traffic camera,1/9/2012 0:00,I-70 and Havana,CCD Traffic Engineering
182,Traffic camera,1/9/2012 0:00,I-70 and Holly (Stapleton Dr S),CCD Traffic Engineering
592,Traffic camera,12/8/2014 0:00,Downing and Welton,CCD Traffic Engineering
594,Traffic camera,12/8/2014 0:00,I-25 and Speer,CCD Traffic Engineering
595,Traffic camera,12/8/2014 0:00,12th St and Tremont Pl and Fox St and Colfax Ave,CCD Traffic Engineering
597,Traffic camera,1/1/2013 0:00,15th and Stout,CCD Traffic Engineering
598,Traffic camera,1/1/2014 0:00,Northfield and Dallas,CCD Traffic Engineering
599,Traffic camera,1/1/2014 0:00,4th and Josephine,CCD Traffic Engineering
600,Traffic camera,1/1/2014 0:00,Florida and Zuni,CCD Traffic Engineering
601,Traffic camera,1/1/2014 0:00,13th and Arapahoe/Champa,CCD Traffic Engineering
603,Traffic camera,1/20/2015 0:00,12th and Bannock,CCD Traffic Engineering
604,Traffic camera,3/13/2015 0:00,11th and Yosemite,CCD Traffic Engineering
605,Traffic camera,3/20/2015 0:00,14th and Yosemite,CCD Traffic Engineering
606,Traffic camera,4/6/2015 0:00,Broadway and Virginia ,CCD Traffic Engineering
607,Traffic camera,4/8/2015 0:00,Franklin and MLK,CCD Traffic Engineering
608,Traffic camera,4/22/2015 0:00,Federal and Amherst,CCD Traffic Engineering
609,Traffic camera,4/23/2015 0:00,Alameda and Santa Fe,CCD Traffic Engineering
610,Traffic camera,4/24/2015 0:00,I-25 and Kalamath ,CCD Traffic Engineering
611,Traffic camera,6/1/2015 0:00,67th and Tower,CCD Traffic Engineering
612,Traffic camera,6/9/2015 0:00,17th and Garfield,CCD Traffic Engineering
613,Traffic camera,7/27/2015 0:00,7th and Grant,CCD Traffic Engineering
614,Traffic camera,7/27/2015 0:00,Central Park and Northfield ,CCD Traffic Engineering
615,Traffic camera,7/27/2015 0:00,Central Park and 56th,CCD Traffic Engineering
616,Traffic camera,10/15/2015 0:00,40th and Jackson,CCD Traffic Engineering
617,Traffic camera,8/1/2014 0:00,I-25/Evans Pedestrian Bridge,CCD Traffic Engineering
618,Traffic camera,11/20/2015 0:00,Vasquez and 52nd,CCD Traffic Engineering
602,Traffic camera,1/1/2014 0:00,Mansfield and Tamarac,CCD Traffic Engineering
619,Traffic camera,12/2/2215 0:00,Smith and Ulster,CCD Traffic Engineering
51,DACS,1/9/2012 0:00,I-225 and Tamarac N,CCD Traffic Engineering
52,DACS,1/9/2012 0:00,I-225 and Tamarac S,CCD Traffic Engineering
53,DACS,1/9/2012 0:00,Yosemite and I-225 North Ramp,CCD Traffic Engineering
54,DACS,1/9/2012 0:00,Yosemite and I-225 South Ramp,CCD Traffic Engineering
57,DACS,1/9/2012 0:00,Sheridan and Jewell,CCD Traffic Engineering
58,DACS,1/9/2012 0:00,Speer and Larimer,CCD Traffic Engineering
59,DACS,1/9/2012 0:00,Leetsdale and Quebec,CCD Traffic Engineering
60,DACS,1/9/2012 0:00,13th and Lincoln,CCD Traffic Engineering
61,DACS,1/9/2012 0:00,18th and Lincoln,CCD Traffic Engineering
62,DACS,1/9/2012 0:00,Lincoln and Walsh,CCD Traffic Engineering
63,DACS,1/9/2012 0:00,20th and Market,CCD Traffic Engineering
64,DACS,1/9/2012 0:00,Mississippi and South Platte River Dr,CCD Traffic Engineering
65,DACS,1/9/2012 0:00,Mississippi and Santa Fe,CCD Traffic Engineering
67,DACS,1/9/2012 0:00,56th and Quebec,CCD Traffic Engineering
68,DACS,1/9/2012 0:00,Quincy and Sheridan,CCD Traffic Engineering
69,DACS,1/9/2012 0:00,48th (GVR) and Tower,CCD Traffic Engineering
70,DACS,1/9/2012 0:00,Alameda and Broadway,CCD Traffic Engineering
71,DACS,1/9/2012 0:00,Alameda and Cherokee,CCD Traffic Engineering
72,DACS,1/9/2012 0:00,Colorado and Alameda,CCD Traffic Engineering
73,DACS,1/9/2012 0:00,Kalamath and Alameda,CCD Traffic Engineering
74,DACS,1/9/2012 0:00,53rd and Quebec,CCD Traffic Engineering
75,DACS,1/9/2012 0:00,Alameda and Lincoln,CCD Traffic Engineering
77,DACS,1/9/2012 0:00,Santa Fe and Alameda,CCD Traffic Engineering
78,DACS,1/9/2012 0:00,University and Alameda,CCD Traffic Engineering
81,DACS,1/9/2012 0:00,9th and Auraria,CCD Traffic Engineering
82,DACS,1/9/2012 0:00,Speer and Auraria,CCD Traffic Engineering
83,DACS,1/9/2012 0:00,11th and Broadway,CCD Traffic Engineering
86,DACS,1/9/2012 0:00,Broadway and Evans,CCD Traffic Engineering
88,DACS,1/9/2012 0:00,Broadway and Kentucky,CCD Traffic Engineering
90,DACS,1/9/2012 0:00,I-25 and Franklin/Buchtel,CCD Traffic Engineering
91,DACS,1/9/2012 0:00,University and Buchtel,CCD Traffic Engineering
92,DACS,1/9/2012 0:00,Colorado and Cherry Creek North,CCD Traffic Engineering
94,DACS,1/9/2012 0:00,Colorado and Cherry Creek South,CCD Traffic Engineering
95,DACS,1/9/2012 0:00,Colfax and Colorado,CCD Traffic Engineering
96,DACS,1/9/2012 0:00,Colfax and Josephine,CCD Traffic Engineering
97,DACS,1/9/2012 0:00,Colfax and Lincoln,CCD Traffic Engineering
98,DACS,1/9/2012 0:00,Speer and Colfax,CCD Traffic Engineering
99,DACS,1/9/2012 0:00,Colfax and York,CCD Traffic Engineering
100,DACS,1/9/2012 0:00,"Colorado and 40th
Colorado and 40th",CCD Traffic Engineering
620,Traffic camera,12/9/2015 0:00,Chambers and 56th,CCD Traffic Engineering
55,DACS,1/9/2012 0:00,Yale and I-25 W,CCD Traffic Engineering
423,Traffic camera,12/8/2014 0:00,Colfax and Elliot,CCD Traffic Engineering
429,Traffic camera,12/8/2014 0:00,University and Yale,CCD Traffic Engineering
452,Traffic camera,12/8/2014 0:00,Alameda and Washington,CCD Traffic Engineering
458,Traffic camera,12/8/2014 0:00,Alameda and Stuart,CCD Traffic Engineering
459,Traffic camera,12/8/2014 0:00,Alameda and Zuni,CCD Traffic Engineering
462,Traffic camera,12/8/2014 0:00,Monaco and MLK,CCD Traffic Engineering
463,Traffic camera,12/8/2014 0:00,6th and Monaco,CCD Traffic Engineering
465,Traffic camera,1/1/2012 0:00,I-25 and Yale W ,CCD Traffic Engineering
487,Traffic camera,12/8/2014 0:00,47th and Peoria,CCD Traffic Engineering
491,Traffic camera,12/8/2014 0:00,56th and Peoria,CCD Traffic Engineering
494,Traffic camera,12/8/2014 0:00,MLK and York,CCD Traffic Engineering
495,Traffic camera,12/8/2014 0:00,Sheridan and Quincy,CCD Traffic Engineering
599,Traffic camera,1/1/2013 0:00,Sheridan and Kentucky,CCD Traffic Engineering
511,Traffic camera,12/8/2014 0:00,Yosemite and Union,CCD Traffic Engineering
521,Traffic camera,12/8/2014 0:00,Yosemite and Mansfield ,CCD Traffic Engineering
529,Traffic camera,1/1/2013 0:00,GVR and Chambers,CCD Traffic Engineering
533,Traffic camera,1/1/2013 0:00,40th and York,CCD Traffic Engineering
