,ITS_DEVICE_ID,ITS_DEVICE_TYPE,LOCATION_DESC,ITS_DEVICE_OWNER,DATE,Lat,Lng
0,626,TRAFFICCAM,Brighton and 31st,PWTES,2016-02-25,39.7665759,-104.9836722
1,627,TRAFFICCAM,Brighton and 44th,PWTES,2016-02-28,39.7784483,-104.9684314
2,628,TRAFFICCAM,Colfax and Wolff,PWTES,2016-03-13,39.74034,-105.0486781
3,146,Traffic camera,15th and Welton,CCD Traffic Engineering,2012-01-09,39.7436022,-104.9925261
4,147,Traffic camera,15th and Larimer,CCD Traffic Engineering,2012-01-09,39.7482765,-104.9986245
5,148,Traffic camera,15th and Champa,CCD Traffic Engineering,2012-01-09,39.745616,-104.9951324
6,149,Traffic camera,14th and Broadway,CCD Traffic Engineering,2012-01-09,39.7384472,-104.9873959
7,150,Traffic camera,14th and Bannock,CCD Traffic Engineering,2012-01-09,39.74000849999999,-104.990262
8,151,Traffic camera,14th and Stout,CCD Traffic Engineering,2012-01-09,39.7439769,-104.9954394
9,152,Traffic camera,14th and Logan,CCD Traffic Engineering,2012-01-09,39.7384356,-104.9823251
10,153,Traffic camera,14th and Kalamath,CCD Traffic Engineering,2012-01-09,39.7384687,-105.0001696
11,154,Traffic camera,14th and Court,CCD Traffic Engineering,2012-01-09,39.7485717,-105.00202
12,155,Traffic camera,14th and Cherokee,CCD Traffic Engineering,2012-01-09,39.7384614,-104.9916489
13,156,Traffic camera,14th and Arapahoe,CCD Traffic Engineering,2012-01-09,39.7460197,-104.9980648
14,157,Traffic camera,13th and Lincoln,CCD Traffic Engineering,2012-01-09,39.7368519,-104.9861362
15,158,Traffic camera,13th and Grant,CCD Traffic Engineering,2012-01-09,39.7368624,-104.9835971
16,159,Traffic camera,10th and Lincoln,CCD Traffic Engineering,2012-01-09,39.7320488,-104.9861214
17,160,Traffic camera,9th and Auraria,CCD Traffic Engineering,2012-01-09,39.7465455,-105.0076005
18,161,Traffic camera,8th and Zuni,CCD Traffic Engineering,2012-01-09,39.7293321,-105.0158612
19,162,Traffic camera,8th and Kalamath,CCD Traffic Engineering,2012-01-09,39.7289464,-105.0001968
20,163,Traffic camera,7th and Auraria Pkwy,CCD Traffic Engineering,2012-01-09,39.7433792,-105.007458
21,164,Traffic camera,"5th and Walnut
5th and Walnut
5th and Walnut",CCD Traffic Engineering,2012-01-09,39.76465109999999,-104.9797829
22,165,Traffic camera,3rd and Josephine,CCD Traffic Engineering,2012-01-09,39.7207916,-104.9581963
23,166,Traffic camera,1st and University,CCD Traffic Engineering,2012-01-09,39.7180014,-104.958082
24,167,Traffic camera,1st and Steele,CCD Traffic Engineering,2012-01-09,39.7175816,-104.9494799
25,168,Traffic camera,Auraria Overpass Ramp Gore Point,CCD Traffic Engineering,2012-01-09,39.7451081,-105.009531
26,169,Traffic camera,Colfax and I-25,CCD Traffic Engineering,2012-01-09,39.739735,-105.000877
27,170,Traffic camera,I-25 and Alameda E,CCD Traffic Engineering,2012-01-09,39.701418,-104.990111
28,171,Traffic camera,I-25 and Speer,CCD Traffic Engineering,2012-01-09,39.7568579,-105.0155944
29,172,Traffic camera,I-270 and Quebec,CCD Traffic Engineering,2012-01-09,39.7966819,-104.9291962
30,173,Traffic camera,Florida and Santa Fe,CCD Traffic Engineering,2012-01-09,39.6911598,-104.9927947
31,174,Traffic camera,Federal and Mississippi,CCD Traffic Engineering,2012-01-09,39.696427,-105.024608
32,175,Traffic camera,23rd and Federal,CCD Traffic Engineering,2012-01-09,39.7512055,-105.0252744
33,176,Traffic camera,Downing and MLK and Champa,CCD Traffic Engineering,2012-01-09,39.7620725,-104.9738916
34,177,Traffic camera,Chambers GVR,CCD Traffic Engineering,2012-01-09,39.784676,-104.80949
35,178,Traffic camera,I-70 and Brighton Blvd,CCD Traffic Engineering,2012-01-09,39.7788005,-104.9421082
36,179,Traffic camera,I-70 (Stapleton Dr S) and Dahlia,CCD Traffic Engineering,2012-01-09,39.7797583,-104.9316731
37,180,Traffic camera,I-70 and Federal,CCD Traffic Engineering,2012-01-09,39.784925,-105.024743
38,181,Traffic camera,I-70 and Havana,CCD Traffic Engineering,2012-01-09,39.7725177,-104.8648724
39,182,Traffic camera,I-70 and Holly (Stapleton Dr S),CCD Traffic Engineering,2012-01-09,39.7797337,-104.9863593
40,592,Traffic camera,Downing and Welton,CCD Traffic Engineering,2014-12-08,39.7582473,-104.97335
41,594,Traffic camera,I-25 and Speer,CCD Traffic Engineering,2014-12-08,39.7568579,-105.0155944
42,595,Traffic camera,12th St and Tremont Pl and Fox St and Colfax Ave,CCD Traffic Engineering,2014-12-08,41.4749805,-81.68568080000001
43,597,Traffic camera,15th and Stout,CCD Traffic Engineering,2013-01-01,39.7449121,-104.9942337
44,598,Traffic camera,Northfield and Dallas,CCD Traffic Engineering,2014-01-01,39.7821734,-104.8762527
45,599,Traffic camera,4th and Josephine,CCD Traffic Engineering,2014-01-01,39.7225543,-104.9582594
46,600,Traffic camera,Florida and Zuni,CCD Traffic Engineering,2014-01-01,39.6895214,-105.0156999
47,601,Traffic camera,13th and Arapahoe/Champa,CCD Traffic Engineering,2014-01-01,39.7521423,-104.9866604
48,603,Traffic camera,12th and Bannock,CCD Traffic Engineering,2015-01-20,39.7352595,-104.9902529
49,604,Traffic camera,11th and Yosemite,CCD Traffic Engineering,2015-03-13,39.7328402,-104.8847607
50,605,Traffic camera,14th and Yosemite,CCD Traffic Engineering,2015-03-20,39.7387073,-104.8846556
51,606,Traffic camera,Broadway and Virginia ,CCD Traffic Engineering,2015-04-06,39.7075359,-104.9875948
52,607,Traffic camera,Franklin and MLK,CCD Traffic Engineering,2015-04-08,39.7620077,-104.9684213
53,608,Traffic camera,Federal and Amherst,CCD Traffic Engineering,2015-04-22,39.6653397,-105.0251355
54,609,Traffic camera,Alameda and Santa Fe,CCD Traffic Engineering,2015-04-23,39.7279358,-104.9986033
55,610,Traffic camera,I-25 and Kalamath ,CCD Traffic Engineering,2015-04-24,39.701418,-104.990111
56,611,Traffic camera,67th and Tower,CCD Traffic Engineering,2015-06-01,39.8181717,-104.7720966
57,612,Traffic camera,17th and Garfield,CCD Traffic Engineering,2015-06-09,39.7437833,-104.9441971
58,613,Traffic camera,7th and Grant,CCD Traffic Engineering,2015-07-27,39.7272671,-104.9836139
59,614,Traffic camera,Central Park and Northfield ,CCD Traffic Engineering,2015-07-27,39.7857297,-104.8830633
60,615,Traffic camera,Central Park and 56th,CCD Traffic Engineering,2015-07-27,39.7982824,-104.8844493
61,616,Traffic camera,40th and Jackson,CCD Traffic Engineering,2015-10-15,39.773271,-104.94304
62,617,Traffic camera,I-25/Evans Pedestrian Bridge,CCD Traffic Engineering,2014-08-01,39.7388881,-105.0140654
63,618,Traffic camera,Vasquez and 52nd,CCD Traffic Engineering,2015-11-20,39.78977890000001,-104.941937
64,602,Traffic camera,Mansfield and Tamarac,CCD Traffic Engineering,2014-01-01,39.6434159,-104.8939026
65,619,Traffic camera,Smith and Ulster,CCD Traffic Engineering,2215-12-02,39.7522908,-104.8939494
66,51,DACS,I-225 and Tamarac N,CCD Traffic Engineering,2012-01-09,39.637586,-104.8952023
67,52,DACS,I-225 and Tamarac S,CCD Traffic Engineering,2012-01-09,39.637586,-104.8952023
68,53,DACS,Yosemite and I-225 North Ramp,CCD Traffic Engineering,2012-01-09,39.635424,-104.9029308
69,54,DACS,Yosemite and I-225 South Ramp,CCD Traffic Engineering,2012-01-09,39.635424,-104.9029308
70,57,DACS,Sheridan and Jewell,CCD Traffic Engineering,2012-01-09,39.6822886,-105.0531996
71,58,DACS,Speer and Larimer,CCD Traffic Engineering,2012-01-09,39.7466805,-105.0008159
72,59,DACS,Leetsdale and Quebec,CCD Traffic Engineering,2012-01-09,39.6985383,-104.9035438
73,60,DACS,13th and Lincoln,CCD Traffic Engineering,2012-01-09,39.7368519,-104.9861362
74,61,DACS,18th and Lincoln,CCD Traffic Engineering,2012-01-09,39.7448734,-104.9861142
75,62,DACS,Lincoln and Walsh,CCD Traffic Engineering,2012-01-09,39.6802848,-104.9365787
76,63,DACS,20th and Market,CCD Traffic Engineering,2012-01-09,39.7536428,-104.9934219
77,64,DACS,Mississippi and South Platte River Dr,CCD Traffic Engineering,2012-01-09,39.698141,-104.993308
78,65,DACS,Mississippi and Santa Fe,CCD Traffic Engineering,2012-01-09,39.693713,-104.992768
79,67,DACS,56th and Quebec,CCD Traffic Engineering,2012-01-09,39.798283,-104.9032709
80,68,DACS,Quincy and Sheridan,CCD Traffic Engineering,2012-01-09,39.6398338,-105.0533684
81,69,DACS,48th (GVR) and Tower,CCD Traffic Engineering,2012-01-09,39.7833417,-104.768192
82,70,DACS,Alameda and Broadway,CCD Traffic Engineering,2012-01-09,39.6219852,-104.9880642
83,71,DACS,Alameda and Cherokee,CCD Traffic Engineering,2012-01-09,39.671285,-104.9911195
84,72,DACS,Colorado and Alameda,CCD Traffic Engineering,2012-01-09,39.71138,-104.939338
85,73,DACS,Kalamath and Alameda,CCD Traffic Engineering,2012-01-09,39.711078,-104.997817
86,74,DACS,53rd and Quebec,CCD Traffic Engineering,2012-01-09,39.793552,-104.9033298
87,75,DACS,Alameda and Lincoln,CCD Traffic Engineering,2012-01-09,39.7320488,-104.9861214
88,77,DACS,Santa Fe and Alameda,CCD Traffic Engineering,2012-01-09,39.7067839,-104.9940996
89,78,DACS,University and Alameda,CCD Traffic Engineering,2012-01-09,39.7463596,-105.002342
90,81,DACS,9th and Auraria,CCD Traffic Engineering,2012-01-09,39.7465455,-105.0076005
91,82,DACS,Speer and Auraria,CCD Traffic Engineering,2012-01-09,39.7476183,-105.0026357
92,83,DACS,11th and Broadway,CCD Traffic Engineering,2012-01-09,39.7338517,-104.9874014
93,86,DACS,Broadway and Evans,CCD Traffic Engineering,2012-01-09,39.6785667,-104.9875131
94,88,DACS,Broadway and Kentucky,CCD Traffic Engineering,2012-01-09,39.70021759999999,-104.9875867
95,90,DACS,I-25 and Franklin/Buchtel,CCD Traffic Engineering,2012-01-09,39.7388881,-105.0140654
96,91,DACS,University and Buchtel,CCD Traffic Engineering,2012-01-09,39.6834348,-104.9612015
97,92,DACS,Colorado and Cherry Creek North,CCD Traffic Engineering,2012-01-09,39.7073649,-104.9408421
98,94,DACS,Colorado and Cherry Creek South,CCD Traffic Engineering,2012-01-09,39.7060081,-104.9408606
99,95,DACS,Colfax and Colorado,CCD Traffic Engineering,2012-01-09,39.7401892,-104.9405883
100,96,DACS,Colfax and Josephine,CCD Traffic Engineering,2012-01-09,39.7401162,-104.9587849
101,97,DACS,Colfax and Lincoln,CCD Traffic Engineering,2012-01-09,39.740485,-104.9860256
102,98,DACS,Speer and Colfax,CCD Traffic Engineering,2012-01-09,39.7401893,-104.9989117
103,99,DACS,Colfax and York,CCD Traffic Engineering,2012-01-09,39.7399865,-104.9597946
104,100,DACS,"Colorado and 40th
Colorado and 40th",CCD Traffic Engineering,2012-01-09,39.775976,-104.9426979
105,620,Traffic camera,Chambers and 56th,CCD Traffic Engineering,2015-12-09,39.7983018,-104.8095203
106,55,DACS,Yale and I-25 W,CCD Traffic Engineering,2012-01-09,39.6677377,-104.9271824
107,423,Traffic camera,Colfax and Elliot,CCD Traffic Engineering,2014-12-08,39.741865,-104.980782
108,429,Traffic camera,University and Yale,CCD Traffic Engineering,2014-12-08,39.6686091,-104.9286854
109,452,Traffic camera,Alameda and Washington,CCD Traffic Engineering,2014-12-08,39.7112219,-104.9014912
110,458,Traffic camera,Alameda and Stuart,CCD Traffic Engineering,2014-12-08,39.71114499999999,-105.044146
111,459,Traffic camera,Alameda and Zuni,CCD Traffic Engineering,2014-12-08,39.6841313,-105.0156855
112,462,Traffic camera,Monaco and MLK,CCD Traffic Engineering,2014-12-08,39.7618414,-104.9128552
113,463,Traffic camera,6th and Monaco,CCD Traffic Engineering,2014-12-08,39.725682,-104.913073
114,465,Traffic camera,I-25 and Yale W ,CCD Traffic Engineering,2012-01-01,39.668704,-104.9273175
115,487,Traffic camera,47th and Peoria,CCD Traffic Engineering,2014-12-08,39.782387,-104.8470789
116,491,Traffic camera,56th and Peoria,CCD Traffic Engineering,2014-12-08,39.7982344,-104.8471162
117,494,Traffic camera,MLK and York,CCD Traffic Engineering,2014-12-08,39.7619924,-104.9597478
118,495,Traffic camera,Sheridan and Quincy,CCD Traffic Engineering,2014-12-08,39.6398338,-105.0533684
119,599,Traffic camera,Sheridan and Kentucky,CCD Traffic Engineering,2013-01-01,39.700798,-105.053137
120,511,Traffic camera,Yosemite and Union,CCD Traffic Engineering,2014-12-08,39.7337466,-104.8843244
121,521,Traffic camera,Yosemite and Mansfield ,CCD Traffic Engineering,2014-12-08,39.6458974,-104.8850821
122,529,Traffic camera,GVR and Chambers,CCD Traffic Engineering,2013-01-01,39.7832359,-104.7579278
123,533,Traffic camera,40th and York,CCD Traffic Engineering,2013-01-01,39.7726622,-104.9576039
124,561,Traffic camera,Quebec and Quincy,CCD Traffic Engineering,2014-01-01,39.63860160000001,-104.9039243
125,562,Traffic camera,Univsersity and Louisiana,CCD Traffic Engineering,2014-01-01,39.7463596,-105.002342
126,101,DACS,Colorado and Evans,CCD Traffic Engineering,2012-01-09,39.6795686,-104.8752735
127,102,DACS,Hampden and Colorado,CCD Traffic Engineering,2012-01-09,39.6530792,-104.9406058
128,103,DACS,I-25 N and Colorado,CCD Traffic Engineering,2012-01-09,39.7000326,-104.9887908
129,105,DACS,Speer and Elitch,CCD Traffic Engineering,2012-01-09,39.7524218,-105.0073363
130,106,DACS,Birch St and Cherry Creek S,CCD Traffic Engineering,2012-01-09,39.7051154,-104.9363623
131,108,DACS,Sheridan and 44th,CCD Traffic Engineering,2012-01-09,39.77656750000001,-105.0532361
132,109,DACS,6th and Speer,CCD Traffic Engineering,2012-01-09,39.7256329,-104.9851376
133,110,DACS,8th and Speer,CCD Traffic Engineering,2012-01-09,39.7289386,-104.9905879
134,111,DACS,13th and  Speer,CCD Traffic Engineering,2012-01-09,39.7500788,-105.0049348
135,112,DACS,Speer and Zuni,CCD Traffic Engineering,2012-01-09,39.7564352,-105.0158326
136,113,DACS,1st and University,CCD Traffic Engineering,2012-01-09,39.7180014,-104.958082
137,116,Traffic camera,Broadway and Colfax,CCD Traffic Engineering,2012-01-09,39.7401257,-104.987408
138,117,Traffic camera,7th/Osage and Colfax,CCD Traffic Engineering,2012-01-09,39.7402272,-105.0052313
139,118,Traffic camera,19th/Welton and Broadway,CCD Traffic Engineering,2012-01-09,39.7473789,-104.9873908
140,119,Traffic camera,Broadway and Evans,CCD Traffic Engineering,2012-01-09,39.6785667,-104.9875131
141,120,Traffic camera,Broadway and Blake,CCD Traffic Engineering,2012-01-09,39.7595428,-104.9875818
142,121,Traffic camera,Alameda and Broadway,CCD Traffic Engineering,2012-01-09,39.6219852,-104.9880642
143,122,Traffic camera,8th and Broadway,CCD Traffic Engineering,2012-01-09,39.7290859,-104.9874165
144,123,Traffic camera,Alameda and Sheridan,CCD Traffic Engineering,2012-01-09,39.6729317,-105.0532664
145,124,Traffic camera,56th and Tower,CCD Traffic Engineering,2012-01-09,39.79873,-104.771986
146,125,Traffic camera,56th and Pena,CCD Traffic Engineering,2012-01-09,39.7996879,-104.7549981
147,126,Traffic camera,48th (GVR) and Tower,CCD Traffic Engineering,2012-01-09,39.7833417,-104.768192
148,127,Traffic camera,47th and Havana,CCD Traffic Engineering,2012-01-09,39.7822731,-104.8659132
149,128,Traffic camera,46th and Brighton,CCD Traffic Engineering,2012-01-09,39.7808813,-104.966906
150,129,Traffic camera,22nd and Broadway/Curtis,CCD Traffic Engineering,2012-01-09,39.7526355,-104.9873823
151,130,Traffic camera,22nd and Blake,CCD Traffic Engineering,2012-01-09,39.7561506,-104.9919128
152,131,Traffic camera,20th and Welton,CCD Traffic Engineering,2012-01-09,39.7482173,-104.986447
153,132,Traffic camera,20th and Market,CCD Traffic Engineering,2012-01-09,39.7536428,-104.9934219
154,133,Traffic camera,20th and Little Raven,CCD Traffic Engineering,2012-01-09,39.7582966,-105.0026628
155,134,Traffic camera,19th and Wynkoop,CCD Traffic Engineering,2012-01-09,39.7546767,-104.9973411
156,135,Traffic camera,19th and Champa,CCD Traffic Engineering,2012-01-09,39.7493366,-104.9903058
157,136,Traffic camera,19th and Blake,CCD Traffic Engineering,2012-01-09,39.7533703,-104.995546
158,137,Traffic camera,18th and Market,CCD Traffic Engineering,2012-01-09,39.7517304,-104.9958831
159,138,Traffic camera,18th and Lincoln,CCD Traffic Engineering,2012-01-09,39.7448734,-104.9861142
160,139,Traffic camera,18th and California,CCD Traffic Engineering,2012-01-09,39.7475106,-104.9902467
161,140,Traffic camera,17th and Wazee,CCD Traffic Engineering,2012-01-09,39.7521474,-104.9988507
162,141,Traffic camera,17th and Grant,CCD Traffic Engineering,2012-01-09,39.7429243,-104.9830468
163,142,Traffic camera,17th and Lawrence,CCD Traffic Engineering,2012-01-09,39.7494563,-104.9953195
164,143,Traffic camera,17th and Broadway and Court ,CCD Traffic Engineering,2012-01-09,,
165,144,Traffic camera,16th and Stout,CCD Traffic Engineering,2012-01-09,39.7458661,-104.9930193
166,145,Traffic camera,16th and Blake,CCD Traffic Engineering,2012-01-09,39.7505436,-104.999161
167,587,Traffic camera,8th and Lincoln,CCD Traffic Engineering,2014-12-08,39.7290906,-104.9861599
168,596,Traffic camera,35th and Central Park Blvd,CCD Traffic Engineering,2014-12-08,39.7788717,-104.8813746
169,621,Traffic camera,Evans and Santa Fe,CCD Traffic Engineering,2016-01-15,39.6779134,-104.9920539
170,622,Traffic camera,Brighton and 29th,CCD Traffic Engineering,2016-01-22,39.7643956,-104.986501
171,623,Traffic camera,Zuni and 29th,CCD Traffic Engineering,2016-02-16,39.7584075,-105.0158417
172,624,Traffic camera,Cherry Creek Drive North and Holly,CCD Traffic Engineering,2016-02-17,39.6966044,-104.9218907
173,625,Traffic camera,Marion/Walnut and 38th,CCD Traffic Engineering,2016-02-22,39.7702541,-104.9720175
174,626,Traffic camera,Morrison and Perry,CCD Traffic Engineering,2016-02-22,39.7063461,-105.0397028
175,224,Traffic camera,8th and Federal,CCD Traffic Engineering,2012-01-09,39.7293122,-105.025176
176,225,Traffic camera,2nd and Federal,CCD Traffic Engineering,2012-01-09,39.719328,-105.025441
177,226,Traffic camera,Evans and University,CCD Traffic Engineering,2012-01-09,39.6793255,-104.961337
